1 120
2 95
3 86
4 74
5 66
6 58
7 53
8 49
9 43
10 39
11 35
12 34
13 30
14 30
15 28
16 25
17 24
18 23
19 21
20 20
21 19
22 19
23 18
24 18
25 17
26 16
27 14
28 14
29 14
30 14
31 13
32 13
33 12
34 12
35 12
36 12
37 11
38 11
39 11
40 10
41 10
42 10
43 9
44 9
45 9
46 9
47 8
48 8
49 8
50 8
51 7
52 7
53 7
54 7
55 7
56 7
57 6
58 6
59 6
60 6
61 6
62 6
63 6
64 6
65 5
66 5
67 5
68 5
69 5
70 5
71 4
72 4
73 4
74 4
75 4
76 4
77 4
78 4
79 4
80 4
81 3
82 3
83 3
84 3
85 3
86 3
87 3
88 3
89 3
90 2
91 2
92 2
93 2
94 2
95 2
96 2
97 1
98 1
99 1
100 1
